Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40270431,09/13/2018 10:35:19 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10455,700 WESTCHESTER AVENUE,WESTCHESTER AVENUE,,,,,LATLONG,BRONX,,N/A,Pending,10/13/2018 10:35:19 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/13/2018 10:38:23 PM,01 BRONX,,BRONX,1010171,236815,MOBILE,Unspecified,BRONX,,,,,,,,40.816640142511275,-73.90635329637827,"(40.816640142511275, -73.90635329637827)"
40271596,09/13/2018 11:47:30 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11216,204 MACDONOUGH STREET,MACDONOUGH STREET,,,,,LATLONG,BROOKLYN,,N/A,Pending,10/13/2018 11:47:30 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/13/2018 11:50:38 PM,03 BROOKLYN,,BROOKLYN,1001337,187532,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.681392292890955,-73.93839374437628,"(40.681392292890955, -73.93839374437628)"
40272883,09/14/2018 12:00:00 AM,09/18/2018 12:22:37 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11385,1712 PALMETTO STREET,PALMETTO STREET,CYPRESS AVENUE,SENECA AVENUE,,,ADDRESS,Ridgewood,,N/A,Closed,10/14/2018 12:49:40 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/18/2018 12:22:37 PM,05 QUEENS,4034560013,QUEENS,1009619,195047,ONLINE,Unspecified,QUEENS,,,,,,,,40.70199936044713,-73.90850515836121,"(40.70199936044713, -73.90850515836121)"
40274073,09/14/2018 12:00:00 AM,09/21/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11217,15 PLAZA STREET,PLAZA STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,10/14/2018 01:25:50 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/21/2018 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,992097,185122,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67479040222718,-73.9717108677532,"(40.67479040222718, -73.9717108677532)"
40275310,09/14/2018 08:04:36 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221,676 GREENE AVENUE,GREENE AVENUE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,,,ADDRESS,BROOKLYN,,N/A,Pending,10/14/2018 08:04:36 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 08:10:53 AM,03 BROOKLYN,3018010014,BROOKLYN,1000483,190488,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68950744256395,-73.94146567261174,"(40.68950744256395, -73.94146567261174)"
40275675,09/14/2018 05:49:06 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Government Building,11216,,,,,BREVOORT PLACE,BEDFORD AVENUE,INTERSECTION,BROOKLYN,,N/A,Pending,10/14/2018 05:49:06 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 05:53:26 AM,03 BROOKLYN,,BROOKLYN,997208,187095,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68019983477221,-73.95328146790375,"(40.68019983477221, -73.95328146790375)"
40275706,09/14/2018 12:19:12 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11212,174 BLAKE AVENUE,BLAKE AVENUE,AMBOY STREET,THOMAS S BOYLAND STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,10/14/2018 12:19:12 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 12:24:50 PM,16 BROOKLYN,3035570025,BROOKLYN,1008329,181601,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66509677904916,-73.91320566801741,"(40.66509677904916, -73.91320566801741)"
40275758,09/14/2018 12:00:00 AM,09/24/2018 01:54:41 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,10022,630 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 53 STREET,EAST 54 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,10/14/2018 09:05:07 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/24/2018 01:54:41 PM,05 MANHATTAN,1013087502,MANHATTAN,992372,215734,PHONE,Unspecified,MANHATTAN,,,,,,,,40.75881274412006,-73.97068253291184,"(40.75881274412006, -73.97068253291184)"
40275817,09/14/2018 12:00:00 AM,09/21/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11435,111-33 INWOOD STREET,INWOOD STREET,111 AVENUE,LINDEN BOULEVARD,,,ADDRESS,Jamaica,,N/A,Closed,10/14/2018 10:52:41 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/21/2018 12:00:00 AM,12 QUEENS,4119620027,QUEENS,1040098,189337,PHONE,Unspecified,QUEENS,,,,,,,,40.68618690402126,-73.79862841344607,"(40.68618690402126, -73.79862841344607)"
40275919,09/14/2018 06:43:12 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,,,,,,96TH STREET,HENRY HUDSON PARKWAY,,,,N/A,Pending,10/14/2018 06:43:12 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 06:54:50 AM,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,
40275948,09/14/2018 12:00:00 AM,09/20/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11368,110-23 56 AVENUE,56 AVENUE,CORONA AVENUE,CAROUSEL LOOP,,,ADDRESS,Corona,,N/A,Closed,10/14/2018 02:18:47 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/20/2018 12:00:00 AM,04 QUEENS,4020110023,QUEENS,1025437,209379,PHONE,Unspecified,QUEENS,,,,,,,,40.74127769599946,-73.85136896373068,"(40.74127769599946, -73.85136896373068)"
40275979,09/14/2018 11:31:15 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10026,106 WEST 114 STREET,WEST 114 STREET,LENOX AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,NEW YORK,,N/A,Pending,10/14/2018 11:31:15 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 11:33:38 AM,10 MANHATTAN,1018230039,MANHATTAN,997759,231088,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.800948816392264,-73.95120655329687,"(40.800948816392264, -73.95120655329687)"
40276686,09/14/2018 05:55:48 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10462,2136 WALLACE AVENUE,WALLACE AVENUE,,,,,LATLONG,BRONX,,N/A,Pending,10/14/2018 05:55:48 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 05:59:36 PM,11 BRONX,,BRONX,1021774,250453,MOBILE,Unspecified,BRONX,,,,,,,,40.85403079983105,-73.86435804653472,"(40.85403079983105, -73.86435804653472)"
40276779,09/14/2018 02:48:51 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,11211,,,,,UNION AVENUE,CONSELYEA STREET,INTERSECTION,BROOKLYN,,N/A,Pending,10/14/2018 02:48:51 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 02:52:17 PM,01 BROOKLYN,,BROOKLYN,997639,199606,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71453897070833,-73.95170267882844,"(40.71453897070833, -73.95170267882844)"
40276847,09/14/2018 10:32:10 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11231,204 HUNTINGTON STREET,HUNTINGTON STREET,COURT STREET,SMITH STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,10/14/2018 10:32:10 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 10:46:45 AM,06 BROOKLYN,3004760019,BROOKLYN,984771,185408,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67557887033171,-73.99812172653338,"(40.67557887033171, -73.99812172653338)"
40277133,09/14/2018 04:52:01 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10468,2308 MORRIS AVENUE,MORRIS AVENUE,EAST 183 STREET,FIELD PLACE,,,ADDRESS,BRONX,,N/A,Pending,10/14/2018 04:52:01 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 04:59:40 PM,05 BRONX,2031720073,BRONX,1011458,252076,PHONE,Unspecified,BRONX,,,,,,,,40.858523264174586,-73.9016417530126,"(40.858523264174586, -73.9016417530126)"
40277154,09/14/2018 12:00:00 AM,09/20/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11358,170-20 CROCHERON AVENUE,CROCHERON AVENUE,170 STREET,171 STREET,,,ADDRESS,Flushing,,N/A,Closed,10/14/2018 04:10:52 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/20/2018 12:00:00 AM,07 QUEENS,4053017501,QUEENS,1040810,217255,PHONE,Unspecified,QUEENS,,,,,,,,40.76281030777835,-73.79582652878037,"(40.76281030777835, -73.79582652878037)"
40277214,09/14/2018 12:00:00 AM,09/25/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10016,EAST 31 STREET,EAST 31 STREET,3 AVENUE,2 AVENUE,,,BLOCKFACE,NEW YORK,,N/A,Closed,10/14/2018 04:31:57 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/25/2018 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,990247,210096,PHONE,Unspecified,MANHATTAN,,,,,,,,40.743339556325544,-73.97835803795338,"(40.743339556325544, -73.97835803795338)"
40277321,09/14/2018 05:29:00 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10462,1776 CASTLE HILL AVENUE,CASTLE HILL AVENUE,ZEREGA AVENUE,BRONXDALE AVENUE,,,ADDRESS,BRONX,,N/A,Pending,10/14/2018 05:29:00 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 05:43:17 PM,10 BRONX,2039980010,BRONX,1024865,246003,PHONE,Unspecified,BRONX,,,,,,,,40.841803201098315,-73.8532116589224,"(40.841803201098315, -73.8532116589224)"
40277363,09/14/2018 12:00:00 AM,09/24/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10312,711 KATAN AVENUE,KATAN AVENUE,WAINWRIGHT AVENUE,POMPEY AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,10/14/2018 05:04:23 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/24/2018 12:00:00 AM,03 STATEN ISLAND,5056030073,STATEN ISLAND,936758,139758,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.55015191573462,-74.17089361567838,"(40.55015191573462, -74.17089361567838)"
40278248,09/14/2018 12:00:00 AM,09/20/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10034,,,,,BROADWAY,ISHAM STREET,INTERSECTION,NEW YORK,,N/A,Closed,10/14/2018 09:36:14 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/20/2018 12:00:00 AM,12 MANHATTAN,,MANHATTAN,1006445,255565,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.868113536577496,-73.91975242658049,"(40.868113536577496, -73.91975242658049)"
40278366,09/14/2018 12:00:00 AM,10/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11435,143-25 84 ROAD,84 ROAD,DANIELS STREET,SMEDLEY STREET,,,ADDRESS,Jamaica,,N/A,Closed,10/14/2018 08:05:41 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/02/2018 12:00:00 AM,08 QUEENS,4097370147,QUEENS,1036018,199034,PHONE,Unspecified,QUEENS,,,,,,,,40.71282764756135,-73.8132651208666,"(40.71282764756135, -73.8132651208666)"
40278505,09/14/2018 12:00:00 AM,09/20/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11375,69-47 MANSE STREET,MANSE STREET,,,,,LATLONG,FOREST HILLS,,N/A,Closed,10/14/2018 09:18:56 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/20/2018 12:00:00 AM,Unspecified QUEENS,,QUEENS,1025132,199148,MOBILE,Unspecified,QUEENS,,,,,,,,40.713197548253866,-73.85253176637379,"(40.713197548253866, -73.85253176637379)"
40279115,09/14/2018 12:00:00 AM,09/20/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11375,69-47 MANSE STREET,MANSE STREET,,,,,LATLONG,FOREST HILLS,,N/A,Closed,10/14/2018 09:40:56 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/20/2018 12:00:00 AM,Unspecified QUEENS,,QUEENS,1025132,199148,MOBILE,Unspecified,QUEENS,,,,,,,,40.713197548253866,-73.85253176637379,"(40.713197548253866, -73.85253176637379)"
40279324,09/14/2018 01:29:15 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11429,216-19 HEMPSTEAD AVENUE,HEMPSTEAD AVENUE,98 AVENUE,217 STREET,,,ADDRESS,QUEENS VILLAGE,,N/A,Pending,10/14/2018 01:29:15 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 01:35:22 PM,13 QUEENS,4107600006,QUEENS,1055593,199984,ONLINE,Unspecified,QUEENS,,,,,,,,40.71529896925331,-73.74264546599612,"(40.71529896925331, -73.74264546599612)"
40279692,09/14/2018 02:52:48 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10474,887 HUNTS POINT AVENUE,HUNTS POINT AVENUE,,,,,LATLONG,BRONX,,N/A,Pending,10/14/2018 02:52:48 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 02:56:24 PM,02 BRONX,,BRONX,1014801,237573,MOBILE,Unspecified,BRONX,,,,,,,,40.81870583895324,-73.8896227204929,"(40.81870583895324, -73.8896227204929)"
40280035,09/14/2018 08:18:30 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10468,2701 GRAND CONCOURSE,GRAND CONCOURSE,EAST KINGSBRIDGE ROAD,EAST 196 STREET,,,ADDRESS,BRONX,,N/A,Pending,10/14/2018 08:18:30 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 08:26:09 AM,07 BRONX,2033140051,BRONX,1013712,255265,PHONE,Unspecified,BRONX,,,,,,,,40.867268865019774,-73.8934794219803,"(40.867268865019774, -73.8934794219803)"
40280136,09/14/2018 05:44:46 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11216,,,,,FULTON STREET,BEDFORD AVENUE,INTERSECTION,BROOKLYN,,N/A,Pending,10/14/2018 05:44:46 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 05:49:25 AM,03 BROOKLYN,,BROOKLYN,997183,187256,PHONE,Unspecified,BROOKLYN,,,,,,,,40.680641779734444,-73.95337129343466,"(40.680641779734444, -73.95337129343466)"
40280697,09/14/2018 08:15:52 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10472,1004 ELDER AVENUE,ELDER AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,,,ADDRESS,BRONX,,N/A,Pending,10/14/2018 08:15:52 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 08:26:10 AM,09 BRONX,2037140004,BRONX,1017975,239589,PHONE,Unspecified,BRONX,,,,,,,,40.82422763640622,-73.87814530246716,"(40.82422763640622, -73.87814530246716)"
40280890,09/14/2018 04:42:04 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11233,166 DECATUR STREET,DECATUR STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,10/14/2018 04:42:04 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 04:48:26 PM,03 BROOKLYN,3016790013,BROOKLYN,1001852,187419,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68108112452445,-73.93653723549764,"(40.68108112452445, -73.93653723549764)"
40280917,09/14/2018 06:16:36 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11101,42-61 HUNTER STREET,HUNTER STREET,,,,,LATLONG,LONG ISLAND CITY,,N/A,Pending,10/14/2018 06:16:36 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 06:20:00 PM,02 QUEENS,,QUEENS,1000856,212003,MOBILE,Unspecified,QUEENS,,,,,,,,40.74856023427287,-73.94006759880156,"(40.74856023427287, -73.94006759880156)"
40281155,09/14/2018 12:00:00 AM,09/27/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10016,135 EAST 28 STREET,EAST 28 STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,10/14/2018 03:15:07 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/27/2018 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,989195,209839,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.74263480629691,-73.98215468235294,"(40.74263480629691, -73.98215468235294)"
40281276,09/14/2018 11:08:13 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10013,83 BAXTER STREET,BAXTER STREET,,,,,LATLONG,NEW YORK,,N/A,Pending,10/14/2018 11:08:13 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 11:10:44 AM,03 MANHATTAN,,MANHATTAN,984363,200359,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71661590589541,-73.9995923693269,"(40.71661590589541, -73.9995923693269)"
40281490,09/14/2018 12:00:00 AM,09/17/2018 04:00:12 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11211,190 SOUTH    8 STREET,SOUTH    8 STREET,DRIGGS AVENUE,BROADWAY,,,ADDRESS,BROOKLYN,,N/A,Closed,10/14/2018 10:24:57 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/17/2018 04:00:12 PM,01 BROOKLYN,3021390014,BROOKLYN,994921,197674,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70923978664252,-73.96151021486746,"(40.70923978664252, -73.96151021486746)"
40281517,09/14/2018 12:00:00 AM,09/24/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,11369,25-28 89 STREET,89 STREET,25 AVENUE,30 AVENUE,,,ADDRESS,East Elmhurst,,N/A,Closed,10/14/2018 07:22:26 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/24/2018 12:00:00 AM,03 QUEENS,4013620023,QUEENS,1017476,217196,ONLINE,Unspecified,QUEENS,,,,,,,,40.76276685464562,-73.8800590646013,"(40.76276685464562, -73.8800590646013)"
40282344,09/14/2018 09:56:18 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10026,71 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 113 STREET,WEST 114 STREET,,,ADDRESS,NEW YORK,,N/A,Pending,10/14/2018 09:56:18 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 10:12:11 AM,10 MANHATTAN,1018230058,MANHATTAN,997387,231182,PHONE,Unspecified,MANHATTAN,,,,,,,,40.801207381551556,-73.9525500038924,"(40.801207381551556, -73.9525500038924)"
40282378,09/14/2018 08:42:04 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10466,816 EAST 225 STREET,EAST 225 STREET,BARNES AVENUE,BRONXWOOD AVENUE,,,ADDRESS,BRONX,,N/A,Pending,10/14/2018 08:42:04 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 08:48:43 AM,12 BRONX,2048490052,BRONX,1023835,262338,PHONE,Unspecified,BRONX,,,,,,,,40.88664244698444,-73.8568377320524,"(40.88664244698444, -73.8568377320524)"
40282417,09/14/2018 06:29:57 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11238,1030 FULTON STREET,FULTON STREET,,,,,LATLONG,BROOKLYN,,N/A,Pending,10/14/2018 06:29:57 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 06:35:14 PM,02 BROOKLYN,,BROOKLYN,995643,187565,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.681492030527984,-73.95892309428622,"(40.681492030527984, -73.95892309428622)"
40282581,09/14/2018 03:51:39 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11385,1707 MADISON STREET,MADISON STREET,CYPRESS AVENUE,SENECA AVENUE,,,ADDRESS,RIDGEWOOD,,N/A,Pending,10/14/2018 03:51:39 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 03:57:22 PM,05 QUEENS,4034570061,QUEENS,1009996,194693,PHONE,Unspecified,QUEENS,,,,,,,,40.70102662505227,-73.90714683926697,"(40.70102662505227, -73.90714683926697)"
40282810,09/14/2018 07:47:58 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11412,191-47 114 DRIVE,114 DRIVE,FARMERS BOULEVARD,194 STREET,,,ADDRESS,SAINT ALBANS,,N/A,Pending,10/14/2018 07:47:58 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 07:56:30 AM,12 QUEENS,4110080030,QUEENS,1050401,193207,PHONE,Unspecified,QUEENS,,,,,,,,40.69673811577188,-73.76144097018195,"(40.69673811577188, -73.76144097018195)"
40282814,09/14/2018 06:34:24 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10455,397 EAST 151 STREET,EAST 151 STREET,COURTLANDT AVENUE,MELROSE AVENUE,,,ADDRESS,BRONX,,N/A,Pending,10/14/2018 06:34:24 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/14/2018 06:45:23 PM,01 BRONX,,BRONX,1007101,237164,PHONE,Unspecified,BRONX,,,,,,,,40.817606523900444,-73.91744331591424,"(40.817606523900444, -73.91744331591424)"
